Include	Color	Pos	Name	CP	Concentration	Standard
True	16711680	A1	Sample 1	29.26		0
True	65280	A2	Sample 2	28.84		0
True	255	A3	Sample 3	29.11		0
True	0	A4	Sample 4	28.95		0
True	8405247	A5	Sample 5	28.73		0
True	5337862	A6	Sample 6	29.01		0
True	9044500	A7	Sample 7	24.49		0
True	8691862	A8	Sample 8	24.85		0
True	8691967	A9	Sample 9	24.45		0
True	11154090	A10	Sample 10	24.65		0
True	32968	A11	Sample 11	24.65		0
True	8421376	A12	Sample 12	26.78		0
True	128	B1	Sample 13	29.15		0
True	8421504	B2	Sample 14	29.15		0
True	16744703	B3	Sample 15	29.03		0
True	32768	B4	Sample 16	28.89		0
True	9830452	B5	Sample 17	28.61		0
True	128	B6	Sample 18	28.64		0
True	8433408	B7	Sample 19	24.56		0
True	1533103	B8	Sample 20	24.84		0
True	16776960	B9	Sample 21	24.51		0
True	16744512	B10	Sample 22	24.74		0
True	33023	B11	Sample 23	24.67		0
True	8405247	B12	Sample 24	26.88		0
True	16711807	C1	Sample 25	28.96		0
True	52224	C2	Sample 26	29.15		0
True	3394713	C3	Sample 27	28.79		0
True	13421772	C4	Sample 28	28.66		0
True	16777062	C5	Sample 29	28.26		0
True	13056	C6	Sample 30	28.46		0
True	13382451	C7	Sample 31	24.56		0
True	8388863	C8	Sample 32	24.88		0
True	16711680	C9	Sample 33	24.52		0
True	65280	C10	Sample 34	24.73		0
True	255	C11	Sample 35	24.64		0
True	0	C12	Sample 36	26.94		0
True	8405247	D1	Sample 37	>40.00  		0
True	5337862	D2	Sample 38	>40.00  		0
True	9044500	D3	Sample 39	>40.00  		0
True	8691862	D4	Sample 40	>40.00  		0
True	8691967	D5	Sample 41	>40.00  		0
True	11154090	D6	Sample 42	>40.00  		0
True	32968	D7	Sample 43	36.59		0
True	8421376	D8	Sample 44	36.53		0
True	128	D9	Sample 45	35.56		0
True	8421504	D10	Sample 46	36.86		0
True	16744703	D11	Sample 47	36.48		0
True	32768	D12	Sample 48	35.88		0
True	9830452	E1	Sample 49	28.93		0
True	128	E2	Sample 50	28.59		0
True	8433408	E3	Sample 51	28.48		0
True	1533103	E4	Sample 52	28.47		0
True	16776960	E5	Sample 53	28.02		0
True	16744512	E6	Sample 54	27.74		0
True	33023	E7	Sample 55	24.44		0
True	8405247	E8	Sample 56	24.18		0
True	16711807	E9	Sample 57	24.16		0
True	52224	E10	Sample 58	24.33		0
True	3394713	E11	Sample 59	24.48		0
True	13421772	E12	Sample 60	26.90		0
True	16777062	F1	Sample 61	29.09		0
True	13056	F2	Sample 62	28.74		0
True	13382451	F3	Sample 63	28.61		0
True	8388863	F4	Sample 64	28.51		0
True	16711680	F5	Sample 65	28.10		0
True	65280	F6	Sample 66	28.01		0
True	255	F7	Sample 67	24.48		0
True	0	F8	Sample 68	24.18		0
True	8405247	F9	Sample 69	24.13		0
True	5337862	F10	Sample 70	24.26		0
True	9044500	F11	Sample 71	24.45		0
True	8691862	F12	Sample 72	26.88		0
True	8691967	G1	Sample 73	28.59		0
True	11154090	G2	Sample 74	28.24		0
True	32968	G3	Sample 75	28.03		0
True	8421376	G4	Sample 76	27.91		0
True	128	G5	Sample 77	27.54		0
True	8421504	G6	Sample 78	27.46		0
True	16744703	G7	Sample 79	24.43		0
True	32768	G8	Sample 80	24.19		0
True	9830452	G9	Sample 81	24.15		0
True	128	G10	Sample 82	24.28		0
True	8433408	G11	Sample 83	24.49		0
True	1533103	G12	Sample 84	26.91		0
True	16776960	H1	Sample 85	>40.00  		0
True	16744512	H2	Sample 86	>40.00  		0
True	33023	H3	Sample 87	>40.00  		0
True	8405247	H4	Sample 88	>40.00  		0
True	16711807	H5	Sample 89	>40.00  		0
True	52224	H6	Sample 90	>40.00  		0
True	3394713	H7	Sample 91	35.56		0
True	13421772	H8	Sample 92	35.42		0
True	16777062	H9	Sample 93	35.13		0
True	13056	H10	Sample 94	35.61		0
True	13382451	H11	Sample 95	35.53		0
True	8388863	H12	Sample 96	38.51		0
