Include	Color	Pos	Name	CP	Concentration	Standard
True	16711680	A1	Sample 1	21.27		0
True	65280	A2	Sample 2	21.58		0
True	255	A3	Sample 3	21.26		0
True	0	A4	Sample 4	21.18		0
True	8405247	A5	Sample 5	21.15		0
True	5337862	A6	Sample 6	21.74		0
True	9044500	A7	Sample 7	17.87		0
True	8691862	A8	Sample 8	18.18		0
True	8691967	A9	Sample 9	17.78		0
True	11154090	A10	Sample 10	17.85		0
True	32968	A11	Sample 11	17.72		0
True	8421376	A12	Sample 12	18.20		0
True	128	B1	Sample 13	21.42		0
True	8421504	B2	Sample 14	21.68		0
True	16744703	B3	Sample 15	21.20		0
True	32768	B4	Sample 16	21.33		0
True	9830452	B5	Sample 17	21.12		0
True	128	B6	Sample 18	21.88		0
True	8433408	B7	Sample 19	17.89		0
True	1533103	B8	Sample 20	18.23		0
True	16776960	B9	Sample 21	17.81		0
True	16744512	B10	Sample 22	17.87		0
True	33023	B11	Sample 23	17.72		0
True	8405247	B12	Sample 24	18.16		0
True	16711807	C1	Sample 25	21.27		0
True	52224	C2	Sample 26	21.67		0
True	3394713	C3	Sample 27	21.18		0
True	13421772	C4	Sample 28	21.28		0
True	16777062	C5	Sample 29	21.19		0
True	13056	C6	Sample 30	21.88		0
True	13382451	C7	Sample 31	17.90		0
True	8388863	C8	Sample 32	18.27		0
True	16711680	C9	Sample 33	17.83		0
True	65280	C10	Sample 34	17.91		0
True	255	C11	Sample 35	17.79		0
True	0	C12	Sample 36	18.23		0
True	8405247	D1	Sample 37	36.48		0
True	5337862	D2	Sample 38	34.07		0
True	9044500	D3	Sample 39	33.76		0
True	8691862	D4	Sample 40	34.76		0
True	8691967	D5	Sample 41	35.03		0
True	11154090	D6	Sample 42	35.08		0
True	32968	D7	Sample 43	27.33		0
True	8421376	D8	Sample 44	27.26		0
True	128	D9	Sample 45	26.83		0
True	8421504	D10	Sample 46	27.04		0
True	16744703	D11	Sample 47	27.13		0
True	32768	D12	Sample 48	27.16		0
True	9830452	E1	Sample 49	21.62		0
True	128	E2	Sample 50	21.20		0
True	8433408	E3	Sample 51	21.18		0
True	1533103	E4	Sample 52	21.43		0
True	16776960	E5	Sample 53	21.25		0
True	16744512	E6	Sample 54	21.93		0
True	33023	E7	Sample 55	18.45		0
True	8405247	E8	Sample 56	18.06		0
True	16711807	E9	Sample 57	17.99		0
True	52224	E10	Sample 58	18.14		0
True	3394713	E11	Sample 59	17.93		0
True	13421772	E12	Sample 60	18.45		0
True	16777062	F1	Sample 61	21.83		0
True	13056	F2	Sample 62	21.46		0
True	13382451	F3	Sample 63	21.45		0
True	8388863	F4	Sample 64	21.61		0
True	16711680	F5	Sample 65	21.46		0
True	65280	F6	Sample 66	22.01		0
True	255	F7	Sample 67	18.51		0
True	0	F8	Sample 68	18.07		0
True	8405247	F9	Sample 69	18.04		0
True	5337862	F10	Sample 70	18.22		0
True	9044500	F11	Sample 71	17.97		0
True	8691862	F12	Sample 72	18.43		0
True	8691967	G1	Sample 73	21.72		0
True	11154090	G2	Sample 74	21.44		0
True	32968	G3	Sample 75	21.45		0
True	8421376	G4	Sample 76	21.58		0
True	128	G5	Sample 77	21.46		0
True	8421504	G6	Sample 78	22.08		0
True	16744703	G7	Sample 79	18.47		0
True	32768	G8	Sample 80	18.06		0
True	9830452	G9	Sample 81	18.03		0
True	128	G10	Sample 82	18.16		0
True	8433408	G11	Sample 83	17.97		0
True	1533103	G12	Sample 84	18.34		0
True	16776960	H1	Sample 85	35.64		0
True	16744512	H2	Sample 86	34.49		0
True	33023	H3	Sample 87	34.67		0
True	8405247	H4	Sample 88	34.29		0
True	16711807	H5	Sample 89	33.24		0
True	52224	H6	Sample 90	34.47		0
True	3394713	H7	Sample 91	27.27		0
True	13421772	H8	Sample 92	27.26		0
True	16777062	H9	Sample 93	27.13		0
True	13056	H10	Sample 94	27.19		0
True	13382451	H11	Sample 95	27.18		0
True	8388863	H12	Sample 96	27.30		0
